35,35,35,35,35,35,35,35,35,42,43,43,43,43,43,43,43,43,43,43,43,43,44,35,35,35,35,35,35,35
35,35,35,35,35,35,35,35,35,58,5,6,6,6,6,6,6,6,6,6,6,7,88,43,43,43,44,35,35,35
35,42,43,43,43,43,43,43,43,89,21,11,11,11,26,22,11,11,11,22,11,24,6,6,6,7,88,44,35,35
35,58,5,6,6,6,6,6,6,6,25,11,22,22,22,11,10,22,22,11,11,26,11,22,10,24,7,60,35,35
35,58,21,11,10,11,22,22,10,22,11,22,22,11,11,11,22,11,11,22,22,11,22,22,22,22,24,88,44,35
35,58,21,22,22,26,22,22,22,11,22,40,86,86,86,86,86,86,41,11,11,22,11,22,11,10,26,23,60,35
42,89,21,22,11,11,11,22,22,11,40,52,85,52,52,85,52,52,85,41,11,22,11,11,11,22,22,23,60,35
58,5,25,10,22,22,11,10,40,86,52,52,53,54,54,54,54,55,52,85,41,11,11,26,11,10,8,39,60,35
58,21,10,22,11,22,22,11,71,52,52,53,57,70,70,11,22,56,55,85,69,22,11,22,22,8,39,72,76,35
58,21,10,22,26,11,22,11,71,85,52,69,11,11,11,22,10,11,71,52,69,11,22,22,8,39,72,76,35,35
58,21,22,10,22,11,22,11,71,52,52,69,11,22,26,22,10,11,71,85,69,22,8,38,39,72,76,35,35,35
58,37,38,38,9,11,22,11,71,53,87,85,41,11,10,22,11,40,87,52,69,26,23,72,75,76,35,35,35,35
74,75,73,5,25,22,11,22,56,55,52,52,85,86,86,86,86,87,52,52,69,11,23,60,35,35,35,35,35,35
35,42,89,21,22,11,22,11,11,56,55,52,52,55,52,52,52,52,53,54,57,11,23,60,35,35,35,35,35,35
35,58,5,25,11,11,22,11,22,11,56,54,54,54,54,55,85,87,69,11,22,22,23,88,43,43,43,43,43,44
42,89,25,22,22,22,11,22,22,26,10,22,22,11,26,56,55,52,69,26,22,11,24,6,6,6,6,6,7,60
58,21,10,26,11,11,11,11,11,22,22,22,10,22,11,22,56,85,85,41,11,22,22,22,11,22,22,11,23,60
58,21,26,10,26,22,3,33,33,33,33,33,4,10,22,10,10,56,55,87,41,11,11,22,22,10,26,11,23,60
58,21,10,22,22,11,18,48,2,35,35,35,16,11,11,22,22,11,71,52,85,86,86,41,11,26,26,22,23,60
58,21,22,10,22,22,18,32,34,35,48,2,16,22,26,10,11,11,71,52,52,52,52,69,22,26,26,26,23,60
58,21,11,22,22,11,18,35,35,35,32,34,16,11,22,22,22,40,52,52,52,53,55,69,11,26,22,26,23,60
58,21,22,11,11,10,19,1,1,1,1,1,20,22,10,11,40,87,52,52,52,85,87,69,11,26,26,26,23,60
58,37,9,70,22,70,11,22,22,10,22,22,22,11,11,22,71,52,52,87,52,52,52,69,22,10,22,11,23,60
74,73,37,9,11,26,22,10,22,22,10,10,11,22,22,11,71,52,52,52,52,85,53,57,8,38,9,11,23,60
35,74,73,21,11,26,22,10,22,11,22,22,26,10,11,10,56,54,54,54,54,54,57,22,23,72,73,38,39,60
35,35,58,21,22,10,22,10,22,22,10,22,22,10,22,22,11,22,22,22,22,22,10,22,23,60,74,75,75,76
35,35,58,37,38,9,11,8,38,38,9,11,11,22,22,22,22,11,22,11,11,22,22,10,23,60,35,35,35,35
35,35,74,75,73,37,38,72,75,73,37,38,9,11,70,10,70,26,26,11,70,11,22,26,23,60,35,35,35,35
35,35,35,35,74,75,75,76,35,74,75,75,73,38,38,38,38,38,38,38,38,38,38,38,39,60,35,35,35,35
35,35,35,35,35,35,35,35,35,35,35,35,74,75,75,75,75,75,75,75,75,75,75,75,75,76,35,35,35,35
